Lien;Nom;Catégorie;Descripton
http://500px.com;500px;inspiration;
https://www.pinterest.fr/;Pinterest;inspiration;
https://www.pexels.com/fr-fr/;Pexels;inspiration;
https://www.behance.net/search/projects?tracking_source=nav20;Behance;inspiration;
https://dribbble.com/shots/popular;Dribbble;inspiration;
https://unsplash.com/;Com;inspiration;
https://www.cosmos.so/;Cosmos;inspiration;
https://color.adobe.com/fr/create/color-wheel;color adobe;color_palette;
https://colorhunt.co/;colorhunt;color_palette;
https://coolors.co/;coolors;color_palette;
https://www.palettedecouleur.net/palette-category/violet/;palettedecouleur;color_palette;
https://www.tpgi.com/color-contrast-checker/;Tpgi;accesibility;
https://www.flaticon.com/;Flaticon;icon;
https://icones8.fr/;icones8;icon;
https://www.dafont.com/fr/;dafont;typo;
https://fonts.google.com/;Google;typo;
https://fonts.adobe.com/;Adobe;typo;
https://www.awwwards.com/awwwards/collections/free-fonts/;Awwwards;typo;
https://www.pixelsurplus.com/freebies/;pixelsurplus www;typo;
https://open-foundry.com/;Open foundry;typo;
http://www.losttype.com/;Losttype;typo;
https://www.fontpair.co/;Fontpair;typo;
https://www.fontsquirrel.com/;Fontsquirrel;typo;
https://resourceboy.com/text-effects/;ressources boy;typo;
https://stock.adobe.com/fr/;adobe stock;image_bank;
https://www.pexels.com/fr-fr/;Pexels;image_bank;
https://stock.adobe.com/fr/;adobe stock;mockup;
https://www.mockupworld.co/;Mockupworld;mockup;
https://99designs.fr/blog/tendances/tendances-design-graphique/;Tendances design graphique;tendencies;
https://graphiste.com/blog/tendances-webdesign-2024/;Tendances webdesign 2024;tendencies;
https://www.adobe.com/max.html;Adobe max;tuto_masterclass_workshop;
https://www.youtube.com/user/AdobeFrance;Yt Adobe FR;tuto_masterclass_workshop;
https://brandingstyleguides.com/;;graphic_chart;
https://chartes-graphiques.com/;;graphic_chart;
https://barbarajosa.com/12-exemples-charte-graphique/;12 exemples de charte graphique;graphic_chart;
https://combind.ma/blog/guides-de-style;guide de style;graphic_chart;
http://www.maitrecappelli.fr;Maitre appelli;design_history;
https://sites.google.com/view/sacha-photographe/;Sacha G. Photographe;photographer_website;
https://www.evanmassonphotographie.fr/;Evanmasson photographie;photographer_website;
https://tomltpf.com/accueil/;;photographer_website;
https://barbaraprobst.net/;;photographer_website;
https://www.perrotin.com/fr/artists/Sophie_Calle/1#news;Perrot in;photographer_website;
https://www.mep-fr.org/les-collections/robert-frank/;Mep-Fr ;photographer_website;
https://www.adrien-favre.com;Adrien -favre;photographer_website;
https://www.vivianmaier.com;Vivian maier;photographer_website;
